ticket_id,ticket_text,predicted_category,confidence,reasoning,escalate_flag,suggested_reply,true_category,true_escalate
TKT-10097,The recommendation algorithm is terrible. It keeps suggesting shows I've already watched.,general_feedback,0.9,User is providing feedback on the recommendation algorithm,False,,general_feedback,False
TKT-10001,The app crashes every time I try to open it on my Android tablet. Been happening since the update.,technical_bug,0.95,App crashes on Android tablet after update,False,,technical_bug,False
TKT-10010,I've been locked out after too many login attempts. My account is not compromised.,account_management,0.9,User is locked out due to excessive login attempts,False,,account_management,True
TKT-10170,Profile avatars are very limited. Let us upload custom images.,general_feedback,0.85,User is requesting a feature to upload custom profile avatars,False,,general_feedback,False
TKT-10149,Can you add a sleep timer? Would love it for bedtime watching.,general_feedback,0.85,"User is requesting a new feature, sleep timer",False,,general_feedback,False
TKT-10003,I want to cancel my subscription but can't find the cancellation option anywhere.,subscription_plan,0.9,User is having trouble cancelling their subscription,True,,account_management,True
TKT-10127,The family plan was supposed to cover 5 members but I got charged per-user fees.,billing_refund,0.9,User is being charged incorrectly for family plan,True,,billing_refund,True
TKT-10180,Please bring back the old home screen layout. The new one is harder to navigate.,general_feedback,0.85,User prefers the old home screen layout,False,,general_feedback,False
TKT-10061,Early access to The Hollow Season 3 was supposed to start today but I can't see it.,content_access,0.9,User is unable to access expected early access content,False,We're checking the early access schedule for The Hollow Season 3 and verifying your account eligibility now.,content_access,False
TKT-10085,I can't find Battle Bots Jr. in search. It was there last week. Has it been removed?,content_access,0.9,User is unable to find a specific show in search,False,We're checking the current availability of Battle Bots Jr. and our content team will verify if it's still part of our catalog.,content_access,False
TKT-10115,I really enjoy the app! Just wanted to say the Star Raiders series is amazing.,general_feedback,0.95,User is providing positive feedback about the app,False,,general_feedback,False
TKT-10020,The video player is great but please add 10-second skip buttons.,general_feedback,0.95,User is suggesting a new feature for the video player,False,,general_feedback,False
TKT-10049,The Hollow is showing as 'Expiring Soon' but the description says it's a permanent purchase.,content_access,0.95,User is experiencing an issue with accessing purchased content,True,,content_access,True
TKT-10078,I want to change the email address on my account but the option is greyed out.,account_management,0.95,User is having trouble updating their account information,False,,account_management,False
TKT-10086,The family plan was supposed to cover 5 members but I got charged per-user fees.,subscription_plan,0.95,User is experiencing an issue with their family plan subscription,False,,billing_refund,False
TKT-10145,The family plan was supposed to cover 5 members but I got charged per-user fees.,subscription_plan,0.95,User is experiencing an issue with their family plan subscription,False,,billing_refund,False
TKT-10093,I never authorized a charge of $49.99 on my card. Please investigate.,billing_refund,0.95,User is disputing an unauthorized charge on their card,True,,billing_refund,True
TKT-10168,I share a family plan with my spouse but she can't see the content I purchased.,content_access,0.95,User is experiencing an issue with sharing content on their family plan,False,We'll check the content sharing settings on your family plan to see why your spouse can't access the purchased content.,content_access,False
TKT-10013,I share a family plan with my spouse but she can't see the content I purchased.,content_access,0.95,User is experiencing an issue with sharing content on their family plan,False,We'll check the content sharing settings on your family plan to see why your spouse can't access the purchased content.,content_access,False
TKT-10119,Episode 2 of Star Raiders is missing from my library even though I'm on the Premium plan.,content_access,0.95,User is missing an episode from their library despite being on the Premium plan,True,,content_access,True
TKT-10076,I want to gift a subscription to a friend. How does that work?,subscription_plan,0.9,User is asking about gifting a subscription,False,,subscription_plan,False
TKT-10024,I'm on the Premium plan — does it include the PPV events or are those separate?,subscription_plan,0.95,User is inquiring about Premium plan inclusions,False,,subscription_plan,False
TKT-10193,I can't access any content from my TV. The app just shows a loading spinner forever.,technical_bug,0.98,User is experiencing a loading issue on their TV app,True,,content_access,True
TKT-10026,Charged $49.99 but the app says my account is still Free tier. Where did my money go?,billing_refund,0.99,User is disputing a charge and account tier discrepancy,False,"We're looking into the charge of $49.99 and why your account still shows as Free tier, our billing team will review the transaction and account status next.",billing_refund,False
TKT-10067,Can I switch from monthly to annual billing and get credit for the days left this month?,billing_refund,0.92,User wants to switch billing cycles and receive credit,False,"We can switch you to annual billing, and our billing team will calculate the prorated credit for the remaining days in your current cycle.",subscription_plan,False
TKT-10128,The annual plan says '2 months free' but the math doesn't add up. I'm being overcharged.,billing_refund,0.96,User believes they are being overcharged,True,,billing_refund,True
TKT-10106,Dark mode setting resets to light mode every time I reopen the app.,technical_bug,0.97,User's app setting is not being saved,True,,technical_bug,True
TKT-10177,Please add a 'random episode' feature for when I can't decide what to watch.,general_feedback,0.9,User is suggesting a new feature,False,,general_feedback,False
TKT-10042,Early access to The Lost Signal Season 3 was supposed to start today but I can't see it.,content_access,0.98,User is unable to access expected content,True,,content_access,True
TKT-10123,My payment keeps failing but you still managed to charge my card twice. Please look into this.,billing_refund,0.99,User is experiencing payment issues and duplicate charges,False,We've got a duplicate charge on your account and a failed payment. Our billing team will review the transaction details and check your payment method now.,billing_refund,True
TKT-10147,Parental controls are blocking content I should be able to see on my adult account.,content_access,0.9,Parental controls issue,False,We'll review your account settings to ensure parental controls are configured correctly for your adult profile.,content_access,False
TKT-10159,I never authorized a charge of $79.99 on my card. Please investigate.,billing_refund,0.95,Unauthorized charge,False,"We're looking into the unauthorized charge on your card, and our billing team will review the transaction details to determine the next steps.",billing_refund,True
TKT-10173,I've been trying to verify my email for 3 days. The link in the email says 'expired'.,account_management,0.9,Email verification issue,False,,account_management,False
TKT-10133,Charged $19.99 but the app says my account is still Free tier. Where did my money go?,billing_refund,0.95,Charge not applied to account,False,"We're looking into the $19.99 charge and why your account still shows as Free tier, our billing team will review the transaction details next.",billing_refund,False
TKT-10033,HD quality setting doesn't stick. It always reverts to SD after I change it.,technical_bug,0.9,Setting not saving,False,,technical_bug,False
TKT-10044,My bank flagged your charge as suspicious and now my card is blocked. Please help.,billing_refund,0.95,Charge flagged as suspicious,False,We'll verify the charge with our billing team and provide a confirmation to help you clear the issue with your bank.,billing_refund,False
TKT-10082,I bought a gift card and applied it but premium content is still locked for me.,content_access,0.9,Gift card not applying correctly,False,We'll verify the gift card balance and entitlement on your account to ensure premium content unlocks for you.,content_access,False
TKT-10134,What's the difference between the Standard and Premium plans? Your website isn't clear.,subscription_plan,0.9,Plan comparison question,False,,subscription_plan,False
TKT-10019,Early access to The Hollow Season 3 was supposed to start today but I can't see it.,content_access,0.9,Expected content not available,False,We're checking the early access schedule for The Hollow Season 3 and verifying your account eligibility now.,content_access,False
TKT-10021,I want to downgrade from Annual to Monthly but can't find where to do it.,subscription_plan,0.9,Plan change issue,False,,subscription_plan,False
TKT-10112,I can't access any content from my TV. The app just shows a loading spinner forever.,content_access,0.95,User can't access content due to loading issue,True,,content_access,True
TKT-10060,I upgraded to the Annual plan but my card was charged the monthly rate. Please correct.,billing_refund,0.95,User was charged incorrect rate after plan upgrade,False,We're looking into the incorrect charge on your account and our billing team will review the subscription details to correct the payment rate.,billing_refund,False
TKT-10141,Your customer support wait times are unacceptable. 4 days and still no reply.,general_feedback,0.95,User is complaining about customer support wait times,False,,general_feedback,True
TKT-10120,I bought the bundle deal but half the shows in the bundle are missing.,content_access,0.95,User is missing content from a purchased bundle,False,We're checking your bundle purchase and verifying the included shows to ensure you get access to the full bundle content.,content_access,False
TKT-10114,I was billed for a PPV event I never watched. The stream was broken. I want a refund.,billing_refund,0.95,User was billed for unwatched PPV event due to stream issue,False,We're looking into the PPV event issue and our billing team will review the transaction to determine the next steps for your account.,billing_refund,False
TKT-10092,The 'Continue Watching' row shows content I've never seen and hides what I actually watch.,technical_bug,0.95,Incorrect content is displayed in 'Continue Watching' row,False,,content_access,False
TKT-10175,Refund request for order #64254 — I bought the wrong PPV event by mistake.,billing_refund,0.95,User wants refund for incorrect PPV event purchase,False,We're looking into order #64254 and our refund team will review your request for the incorrect PPV event purchase.,billing_refund,False
TKT-10194,I was incorrectly suspended. I have not violated any terms of service.,account_management,0.95,User was incorrectly suspended from service,False,,account_management,False
TKT-10117,My free trial ended but I was charged before I could cancel. This is unfair.,billing_refund,0.95,User was charged before they could cancel subscription,False,"We're looking into the charge on your account, and our billing team will review the timing of the trial end and the charge now.",billing_refund,False
TKT-10075,Do you offer a military/veteran discount?,subscription_plan,0.95,User is inquiring about a specific discount on subscription plans,False,,subscription_plan,False
TKT-10009,I cancelled my plan on 2024-09-17 but still got billed. I want a refund.,billing_refund,0.95,User requests a refund for an unwanted charge,True,,billing_refund,True
TKT-10089,Refund request for order #17972 — I bought the wrong PPV event by mistake.,billing_refund,0.95,User wants a refund for a mistaken purchase,True,,billing_refund,True
TKT-10104,I purchased Star Raiders Season 2 but only Season 1 shows up in My Library.,content_access,0.9,User can't access purchased content,False,"We're checking your account access to ensure you have the right entitlements for Star Raiders Season 2, and our team will verify the purchase details now.",content_access,False
TKT-10155,I want to cancel my subscription but can't find the cancellation option anywhere.,account_management,0.95,User needs help with subscription cancellation,True,,account_management,True
TKT-10041,I paid for the Battle Bots Jr. PPV event but the stream never loaded. I missed the whole thing.,technical_bug,0.9,User experienced a streaming issue,False,,content_access,False
TKT-10040,I signed up with Google but now want to switch to email/password login.,account_management,0.95,User wants to switch login method,True,,account_management,True
TKT-10124,My downloaded episodes disappeared after the latest app update. I had 12 episodes saved.,technical_bug,0.9,User's downloaded content disappeared after an update,False,,content_access,False
TKT-10056,I have two accounts with different emails and want to merge them.,account_management,0.95,User wants to merge multiple accounts,False,,account_management,False
TKT-10023,Neon Knights is showing as 'Expiring Soon' but the description says it's a permanent purchase.,content_access,0.9,User is unsure about content expiration,False,"We're checking the expiration status of Neon Knights to clarify if it's indeed a permanent purchase or a licensing issue, and our content team will review the entitlement details.",content_access,False
TKT-10095,Is there a student discount? I'm a full-time university student.,subscription_plan,0.95,User inquires about a specific discount,False,,subscription_plan,False
TKT-10139,The 'Continue Watching' row shows content I've never seen and hides what I actually watch.,content_access,0.9,Issue with content visibility in 'Continue Watching' row,True,,content_access,True
TKT-10130,My free trial ended but I was charged before I could cancel. This is unfair.,billing_refund,0.95,Unfair charge after free trial ended,False,"We're looking into the charge that posted after your free trial ended, and our billing team will review the cancellation timeline for your account.",billing_refund,False
TKT-10052,Profile picture upload fails with a generic error. Tried different image formats.,technical_bug,0.92,Profile picture upload fails with generic error,False,,technical_bug,False
TKT-10178,Please bring back the old home screen layout. The new one is harder to navigate.,general_feedback,0.85,Request to change home screen layout,False,,general_feedback,False
TKT-10150,The app keeps logging me out every few hours. Very annoying.,technical_bug,0.9,App keeps logging user out,False,,technical_bug,False
TKT-10016,I can't access any content from my TV. The app just shows a loading spinner forever.,content_access,0.92,Unable to access content on TV due to loading issue,False,We're checking your TV app connection and content access now to see what's causing the loading issue.,content_access,False
TKT-10179,Episode 1 of Thunderclaw is missing from my library even though I'm on the Premium plan.,content_access,0.9,Missing episode from library despite having Premium plan,False,"We're checking your account access to Thunderclaw, and our content team will verify the episode availability for Premium plan subscribers.",content_access,False
TKT-10012,I requested a refund 10 days ago via chat and never heard back. Ticket #73699.,billing_refund,0.95,Refund request follow-up,False,"I've located your original request, Ticket #73699. Our refund team will review the status of your refund now.",billing_refund,True
TKT-10135,My bank flagged your charge as suspicious and now my card is blocked. Please help.,billing_refund,0.9,Charge flagged as suspicious by bank,False,We'll verify the charge with our billing team and provide a confirmation to help you clear the block with your bank.,billing_refund,False
TKT-10034,The app crashes every time I try to open it on my Android tablet. Been happening since the update.,technical_bug,0.95,App crashes on Android tablet after update,False,,technical_bug,False
TKT-10058,Chromecast / AirPlay option has disappeared from the player controls.,technical_bug,0.9,Missing Chromecast/AirPlay option,False,,technical_bug,False
TKT-10200,Charged $49.99 but the app says my account is still Free tier. Where did my money go?,billing_refund,0.95,Discrepancy between charged amount and account status,False,"We're looking into the charge of $49.99 and why your account still shows as Free tier, our billing team will review the transaction and account status next.",billing_refund,False
TKT-10039,I can't find The Hollow in search. It was there last week. Has it been removed?,content_access,0.9,Missing content in search,False,"We're checking the current availability of The Hollow on our platform, I'll look into why it's not showing up in search for you now.",content_access,False
TKT-10032,You charged me after I deleted the app. How is that even possible?,billing_refund,0.95,Unwanted charge after app deletion,False,We'll look into why you were charged after uninstalling. Our billing team will review your account status and subscription details next.,billing_refund,False
TKT-10014,Can I switch from monthly to annual billing and get credit for the days left this month?,subscription_plan,0.9,Request to switch billing cycle,False,,subscription_plan,False
TKT-10183,I need an invoice/receipt for my last 3 payments for expense reimbursement.,billing_refund,0.95,Request for payment receipts,False,"We'll generate invoices for your last 3 payments, I'll send them to the email associated with your account for your records.",billing_refund,False
TKT-10028,I've been locked out after too many login attempts. My account is not compromised.,account_management,0.9,Account lockout issue,True,,account_management,True
TKT-10129,I can't update my billing address. The form throws an error when I save.,account_management,0.9,Billing address update error,False,,account_management,False
TKT-10107,Video playback stutters every 30 seconds on WiFi but works fine on mobile data.,technical_bug,0.9,Video playback issue,False,,technical_bug,False
TKT-10006,My free trial ended but I was charged before I could cancel. This is unfair.,billing_refund,0.95,Unwanted charge after free trial,False,"We're looking into the charge on your account, and our billing team will review the timing of the trial end and the charge now.",billing_refund,False
TKT-10083,Content I bookmarked has a broken thumbnail and won't play.,content_access,0.9,broken thumbnail and playback issue,True,,content_access,True
TKT-10146,My downloaded episodes disappeared after the latest app update. I had 12 episodes saved.,technical_bug,0.95,downloaded episodes disappeared after app update,True,,content_access,True
TKT-10070,I can't access any content from my TV. The app just shows a loading spinner forever.,content_access,0.95,inability to access content due to loading spinner,False,"We're checking your TV app connection and content access now, and our tech team will review the loading issue on your device shortly.",content_access,False
TKT-10154,Dark mode setting resets to light mode every time I reopen the app.,technical_bug,0.9,dark mode setting resets after reopening app,False,,technical_bug,False
TKT-10087,Can I pause my subscription for 2 months while I travel? How do I do this?,subscription_plan,0.95,request to pause subscription,False,,account_management,False
TKT-10132,I was incorrectly suspended. I have not violated any terms of service.,account_management,0.95,incorrect suspension of account,False,,account_management,False
TKT-10015,My free trial ended but I was charged before I could cancel. This is unfair.,billing_refund,0.95,unfair charge after free trial,False,"We're looking into the charge on your account, and our billing team will review the timing of the trial end and the charge now.",billing_refund,False
TKT-10066,The family plan was supposed to cover 5 members but I got charged per-user fees.,billing_refund,0.9,incorrect charges for family plan,False,We're looking into the family plan charges on your account and our billing team will review the per-user fees to ensure they match your plan details.,billing_refund,False
TKT-10071,Can I switch from monthly to annual billing and get credit for the days left this month?,subscription_plan,0.95,request to switch billing cycle,False,,subscription_plan,False
TKT-10113,My account was hacked and purchases were made without my consent. Need all charges reversed.,account_management,0.95,account hacking and unauthorized purchases,True,,billing_refund,True
TKT-10103,Two-factor authentication code is never delivered to my phone number.,account_management,0.95,Two-factor authentication issue,False,,technical_bug,False
TKT-10059,I can't find The Hollow in search. It was there last week. Has it been removed?,content_access,0.9,Content not found in search,True,,content_access,True
TKT-10163,App is using 8GB of storage on my Amazon Fire TV for a 2GB cache limit. Something is wrong.,technical_bug,0.95,App storage usage exceeds expected limit,True,,technical_bug,True
TKT-10144,Episode 8 of Dragon Patrol is missing from my library even though I'm on the Premium plan.,content_access,0.9,Missing episode from library,True,,content_access,True
TKT-10069,I can't access any content from my TV. The app just shows a loading spinner forever.,technical_bug,0.95,App loading issue on TV,True,,content_access,True
TKT-10142,Subtitles for The Lost Signal in Spanish are completely wrong — they look machine-translated.,content_access,0.8,Incorrect subtitles,False,"We're checking the Spanish subtitles for The Lost Signal, and our content team will review the translation for accuracy.",content_access,False
TKT-10143,The 'Continue Watching' row shows content I've never seen and hides what I actually watch.,technical_bug,0.9,Incorrect 'Continue Watching' row,False,,content_access,False
